surface,theme,viewport,authority reference,structural verdict,structural/token evidence,current rendered evidence,rendered verdict,scope note
"Home","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-01_Home_beige.png","VERIFIED","HomeShell + shared panel/surface/state tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","reference content is illustrative only"
"Home","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-01_Home_beige.png","VERIFIED","HomeShell mobile grid + bottom OrbNav safe area","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","one-screen reading order requires runtime check"
"Home","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-01_Home_astral.png","VERIFIED","same HomeShell; Astral semantic overrides","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","no theme component fork"
"Home","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-01_Home_astral.png","VERIFIED","same mobile structure; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","no theme component fork"
"Journal","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-02_Journal_beige.png","VERIFIED","JournalShell stage/list/detail + semantic surfaces","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","real Journal fields override screenshot copy"
"Journal","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-02_Journal_beige.png","VERIFIED","single-column journal entry CSS","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","current data density needs browser comparison"
"Journal","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-02_Journal_astral.png","VERIFIED","same JournalShell; Astral overrides","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Journal","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-02_Journal_astral.png","VERIFIED","same mobile structure; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Quick Record","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-03_Quick_Record_beige.png","VERIFIED","JournalShell quick-record stage + semantic controls","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","backend-supported form fields only"
"Quick Record","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-03_Quick_Record_beige.png","VERIFIED","mobile form stack and full-width actions","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","attachment chips in image are not authority"
"Quick Record","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-03_Quick_Record_astral.png","VERIFIED","same form tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Quick Record","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-03_Quick_Record_astral.png","VERIFIED","same mobile form tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Journey","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-04_Journey_beige.png","VERIFIED","JourneyShell staged list/detail and route-thread semantics","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","final Quest content remains blocked"
"Journey","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-04_Journey_beige.png","VERIFIED","mobile staged panels and one-purpose camera profile","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","desktop parent peek is not required on mobile"
"Journey","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-04_Journey_astral.png","VERIFIED","same Journey tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared semantics"
"Journey","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-04_Journey_astral.png","VERIFIED","same mobile stages; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared semantics"
"Role","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-05_Role_beige.png","VERIFIED","RoleShell + shared LeftContext anchor lane","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","Role means real-world context"
"Role","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-05_Role_beige.png","VERIFIED","Role mobile stage widths/stacking","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","Person remains private"
"Role","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-05_Role_astral.png","VERIFIED","same Role tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","no theme fork"
"Role","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-05_Role_astral.png","VERIFIED","same mobile stages; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","no theme fork"
"Inventory / Gear","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-06_Inventory_Gear_beige.png","VERIFIED","InventoryShell/GearShell grids and stable panels","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","final item/gear content remains blocked"
"Inventory / Gear","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-06_Inventory_Gear_beige.png","VERIFIED","mobile tiles and staged detail widths","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","content labels in image are not authority"
"Inventory / Gear","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-06_Inventory_Gear_astral.png","VERIFIED","same inventory/gear trees; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Inventory / Gear","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-06_Inventory_Gear_astral.png","VERIFIED","same mobile grids; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Growth","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-07_Growth_beige.png","VERIFIED","GrowthShell profile/history/detail + semantic stat colors","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","backend Growth fields remain authority"
"Growth","Warm Beige","Mobile","NO_DEDICATED_V7_PNG","VERIFIED","Growth mobile panel widths/stat grid in globals.css","no current runtime capture and no dedicated reference PNG","NOT_VISUALLY_VERIFIED","reference coverage gap; do not infer parity"
"Growth","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-07_Growth_astral.png","VERIFIED","same Growth tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Growth","Astral","Mobile","NO_DEDICATED_V7_PNG","VERIFIED","same Growth mobile structure; Astral tokens","no current runtime capture and no dedicated reference PNG","NOT_VISUALLY_VERIFIED","reference coverage gap; do not infer parity"
"Connections / Direct Chat","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-08_Connections_Direct_Chat_beige.png","VERIFIED","shared draggable utility window + list/chat anatomy","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","global utility lock overrides screenshot navigation placement"
"Connections / Direct Chat","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-07_Connections_Direct_Chat_beige.png","VERIFIED","viewport-bounded mobile utility drawer","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","presence/group copy in image is not authority"
"Connections / Direct Chat","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-08_Connections_Direct_Chat_astral.png","VERIFIED","same utility tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","no theme fork"
"Connections / Direct Chat","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-07_Connections_Direct_Chat_astral.png","VERIFIED","same mobile drawer; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","no realtime claim"
"Notification","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-09_Notification_beige.png","VERIFIED","NotificationBell popup/list/detail semantic states","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","global utility lock overrides screenshot navigation placement"
"Notification","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-08_Notification_beige.png","VERIFIED","viewport clamp + single detail pane + internal scroll","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","unsupported source types not inferred"
"Notification","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-09_Notification_astral.png","VERIFIED","same notification tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Notification","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-08_Notification_astral.png","VERIFIED","same mobile popup; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared anatomy"
"Economy / Exchange","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-10_Economy_beige.png","VERIFIED","Exchange surfaces use panel/data/control semantic hierarchy","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","Wish/Plan/Income/Asset Trace sample is excluded"
"Economy / Exchange","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-09_Economy_beige.png","VERIFIED","Exchange mobile stages/rows/actions","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","canonical Wallet/Shop/Marketplace/Listings/Trade only"
"Economy / Exchange","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-10_Economy_astral.png","VERIFIED","same Exchange tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","personal-finance sample excluded"
"Economy / Exchange","Astral","Mobile","03_Astral_Neutral/Mobile/MT7-09_Economy_astral.png","VERIFIED","same mobile Exchange tree; Astral tokens","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","canonical domain only"
"Settings","Warm Beige","Desktop","04_Warm_Beige_Analog_Spatial/Desktop/DT7-11_Settings_beige.png; 06_Theme_Switching/TS7-01_Settings_Theme_Switch.png","VERIFIED","SettingsShell appearance picker + local/account behavior","no current runtime capture; reference PNGs directly viewed","NOT_VISUALLY_VERIFIED","runtime selector stays warm-beige"
"Settings","Warm Beige","Mobile","04_Warm_Beige_Analog_Spatial/Mobile/MT7-10_Settings_beige.png","VERIFIED","mobile theme cards and controls","no current runtime capture; reference PNG directly viewed","NOT_VISUALLY_VERIFIED","shared state preserved"
"Settings","Astral","Desktop","03_Astral_Neutral/Desktop/DT7-11_Settings_astral.png; 06_Theme_Switching/TS7-02_Runtime_Transition.png","VERIFIED","same Settings tree + Astral overrides + prepaint","no current runtime capture; reference PNGs directly viewed","NOT_VISUALLY_VERIFIED","no geometry animation required"
