area,required contract,wide,compact,mobile,Warm Beige,Astral,state/accessibility evidence,verdict,evidence
"Default theme","Warm Beige default","same root","same root","same root","default","secondary","invalid/stored fallback resolves Warm Beige","VERIFIED","features/theme/theme.ts DEFAULT_THEME_PREFERENCE; app/layout.tsx data-theme=warm-beige"
"Runtime selector","one root semantic selector","astral|warm-beige","astral|warm-beige","astral|warm-beige","warm-beige","astral","root data attribute only","VERIFIED","ThemeProvider.tsx:applyRoot; app/globals.css root selectors"
"Pre-paint bootstrap","read preference before hydration","yes","yes","yes","safe catch fallback","safe explicit selection","inline head script; hydration warning suppressed","VERIFIED","theme.ts:THEME_BOOTSTRAP_SCRIPT; app/layout.tsx"
"Settings picker","SYSTEM / ASTRAL / WARM_BEIGE","desktop panel","compact panel","stacked cards","immediate","immediate","radio/control pending and sync feedback","VERIFIED","SettingsShell.tsx/tests; useSettings.test.tsx; MT7-10_* and DT7-11_* references"
"Local immediate persistence","apply without waiting for server","yes","yes","yes","yes","yes","localStorage best effort; no rollback on sync failure","VERIFIED","ThemeProvider.tsx:setPreference; ThemeProvider.test.tsx"
"Authenticated account sync","hydrate canonical user preference once session ready","yes","yes","yes","yes","yes","response userId/version guards stale session result","VERIFIED","AuthenticatedThemeBootstrap.tsx lines 10-33; focused tests"
"System/manual behavior","SYSTEM follows OS; manual overrides","yes","yes","yes","light->Warm Beige","dark->Astral","matchMedia listener only while SYSTEM","VERIFIED","theme.ts:resolveTheme; ThemeProvider.tsx effect; tests"
"Shared component tree","no theme-specific feature fork","same","same","same","token override","token override","feature search found no theme branch that swaps component trees","VERIFIED","app/page.tsx feature wiring; app/globals.css; ThemeProvider.tsx"
"Semantic token ownership","shared spacing/radius/motion/state plus material overrides","yes","yes","yes","exact Warm Beige handoff values","exact Astral handoff values","state tokens map success/warning/error/info/focus/selected/disabled/pending/read-only","VERIFIED","app/globals.css lines 3-101; v7 09_FE_Handoff token/state CSV files"
"Focus visibility","visible independently of ambient","yes","yes","yes","#5B9295","#54D4DE","global 2px focus-visible outline + offset","VERIFIED","app/globals.css lines 109-112; Accessibility_Contrast_Matrix.csv"
"Contrast token contract","text/boundary targets","source token match","source token match","source token match","documented AA/UI ratios","documented AA/UI ratios","structural values match supplied matrix","VERIFIED","app/globals.css tokens; v7 Accessibility_Contrast_Matrix.csv"
"Real-device contrast","OLED/LCD/bright office validation","not run","not run","not run","not run","not run","no current render or device evidence","NOT_VISUALLY_VERIFIED","v7 Accessibility_Review.md lists this as an environment gate"
"Reduced motion","remove panel/material motion","yes","yes","yes","direct swap","direct swap","CSS transition duration 0 and Framer Motion reduced-motion branches","VERIFIED","app/globals.css prefers-reduced-motion; PanelStage.tsx; motion tests"
"Wide composition","active child plus useful parent context","stage owner workspace","n/a","n/a","same geometry","same geometry","camera topology only; utility windows excluded","VERIFIED","useStageCamera.ts cameraProfileForWidth/cameraScrollTarget; useStageCamera.test.ts"
"Compact composition","child priority stronger; parent secondary","n/a","768-1199 profile","n/a","same geometry","same geometry","responsive lane clamp + camera insets","VERIFIED","useStageCamera.ts compact profile; app/globals.css 768-1199 media query; tests"
"Compact rendered parity","actual layout against approved reference","n/a","no dedicated compact PNG/runtime capture","n/a","not compared","not compared","structural source only","NOT_VISUALLY_VERIFIED","v7 package supplies Desktop/Mobile images but no compact reference set"
"Mobile composition","one-screen-one-purpose","n/a","n/a","viewport owner and leading safe space","same geometry","same geometry","mobile camera uses viewport and resets inactive owner offset","VERIFIED","useStageCamera.ts; mobile camera regression tests"
"Mobile OrbNav","bottom navigation with safe area","n/a","n/a","fixed bottom","same","same","desktop sticky/top/transform explicitly reset","VERIFIED","app/globals.css lines 4116-4129; app/page.test.tsx"
"LeftContext / Orb anchor","viewport-height centered anchor lane","sticky 100svh","sticky 100svh","static stage","same","same","LeftContext viewport-bounded with internal scroll","VERIFIED","app/globals.css lines 506-555 and mobile override lines 4443-4470"
"Panel geometry","stable width; tallest child cannot move center; internal scroll","fixed rail height","fixed rail height","viewport-height rail","same","same","no-shrink stages; panel body overflow-y auto; title ellipsis","VERIFIED","app/globals.css lines 564-595 and mobile overrides"
"Stage lifecycle/motion","new depth focus; same-depth inner replacement; Back to parent","yes","yes","yes","same","same","PanelStage stable key + StageContentTransition + short motion","VERIFIED","PanelStage.tsx; motion.ts; useStageCamera.ts; focused tests"
"Loading/empty/error/retry","truthful non-success states","representative coverage","representative coverage","representative coverage","semantic states","semantic states","Home/Journal/Journey/Role/Inventory/Growth/Social/Notification/Exchange tests","VERIFIED","01_SCREEN_RUNTIME_MATRIX.csv evidence column"
"Disabled/pending/read-only","distinct behavior and legibility","representative coverage","representative coverage","representative coverage","semantic tokens","semantic tokens","disabled blocks actions; read-only remains content; pending labels/locks commands","VERIFIED","app/globals.css semantic states; focused feature tests"
"Utility windows","Connections/Chat/Notification are global and not camera targets","viewport clamp","viewport clamp","bounded above bottom nav","same","same","draggable header remains reachable; notification uses internal scroll","VERIFIED","useDraggableWindow.ts/tests; SocialUtilityHub.test.tsx; NotificationBell.test.tsx; app/globals.css mobile clamps"
"Theme transition state preservation","theme change must not reset route/depth/form/scroll/chat draft","provider does not remount app","provider does not remount app","provider does not remount app","material swap","material swap","root dataset changes in place","VERIFIED","ThemeProvider.tsx; Theme_Switching_UX.md; TS7-02_Runtime_Transition.png"
