surface,runtime source,canonical API/use case,real vs mock,loading,empty,error,retry,disabled/pending/read-only,content dependency,backend dependency,theme parity,responsive evidence,visual authority reference,verdict,evidence
"Auth / onboarding","features/auth/api.ts; AuthContext; login/register/linkstart routes","POST /api/v1/auth/login; POST /api/v1/auth/register; GET /api/v1/users/me; POST /api/v1/players/register","API only when NEXT_PUBLIC_USE_MOCK=false; current default is Mock","yes","n/a","yes","form resubmit","pending/disabled","none","session/user/player APIs","shared tokens","route component tests","v7 Home shell context only","RUNTIME_CONTRACT_GAP","features/auth/api.ts:loginApi/registerApi/getMeApi; features/onboarding-api.test.ts; app/login/page.test.tsx; app/register/page.test.tsx; app/linkstart/page.test.tsx"
"Player shell / LeftContext","usePlayerContext + equipment query","GET /api/v1/players; GET /api/v1/players/equipment","API/Mock global switch","yes","player missing redirects","yes","yes","read-only identity while loading/error","final catalog labels","player/equipment reads","structural parity","viewport-bounded internal scroll","DT7-01_Home_*; DT7-07_Growth_*","VERIFIED","features/player/usePlayerContext.ts; widgets/left-context/LeftContext.tsx; usePlayerContext.test.tsx; app/page.test.tsx"
"Home","features/home","GET /api/v1/home","API/Mock global switch","yes","per-section empty","yes","yes","read-only summary","active backend summaries","home aggregate","shared tokens","HomeShell responsive tests + CSS","DT7-01_Home_beige.png; DT7-01_Home_astral.png; MT7-01_Home_*","VERIFIED","features/home/api.ts; HomeShell.tsx; HomeShell.test.tsx; useHomeQuery.test.tsx"
"Journal","features/lifelog journal","GET /api/v1/lifelogs; GET /api/v1/lifelogs/{id}","API/Mock global switch","yes","yes","yes","yes","query pending/selection states","real LifeLog data","LifeLog read","shared tokens","mobile journal CSS/tests","DT7-02_Journal_*; MT7-02_Journal_*","VERIFIED","features/lifelog/api.ts:listJournalApi/getJournalDetailApi; JournalShell.test.tsx; useJournalQueries.test.tsx"
"Quick Record","features/lifelog journal","POST /api/v1/lifelogs/quick-record with Idempotency-Key","API/Mock global switch","submission pending","recent list empty","yes","manual retry keeps unchanged-intent key","disabled/pending/success-refresh warning","role list","LifeLog command","shared tokens","mobile form stacking","DT7-03_Quick_Record_*; MT7-03_Quick_Record_*","VERIFIED","features/lifelog/api.ts:quickRecordApi; useJournalQueries.ts; JournalShell.test.tsx; api.test.ts"
"Journey / Quest catalog","features/quests","GET /api/v1/quests/catalog","API/Mock global switch","yes","yes","yes","yes","selection/read-only definition","final Quest activation","envelope drift + content activation","shared tokens","journey stage/mobile CSS/tests","DT7-04_Journey_*; MT7-04_Journey_*","CONTENT_BLOCKED","features/quests/api.ts:listQuestCatalogApi; JourneyShell.tsx; api.test.ts; JourneyShell.test.tsx"
"Journey / accepted Quests","features/quests","GET /api/v1/players/quests; detail; accept/manual-check/cancel","API/Mock global switch","yes","yes","yes","canonical reload after command","pending/disabled; Goal Reached distinct from Completed","Quest definitions","Quest acceptance contract","shared tokens","journey stage/mobile CSS/tests","DT7-04_Journey_*; MT7-04_Journey_*","RUNTIME_CONTRACT_GAP","features/quests/api.ts; shared/api/types/quest.ts optional dead idempotency fields; useJourneyQueries.test.tsx"
"QuestRoute","features/quests","GET/select my routes; POST advance with expectedStepId","API/Mock global switch","yes","yes","yes","yes","explicit advance disabled while pending","final route content","QuestRoute APIs","shared tokens","route thread/mobile CSS/tests","DT7-04_Journey_*; MT7-04_Journey_*","VERIFIED","features/quests/api.ts:advanceQuestRouteApi; JourneyShell.test.tsx; api.test.ts"
"Role / Person","features/role","/api/v1/roles and /api/v1/persons CRUD","API/Mock global switch","yes","yes","yes","yes","pending/disabled; Person private copy","none","Role and private Person contracts","shared tokens","role stage/mobile CSS/tests","DT7-05_Role_*; MT7-05_Role_*","VERIFIED","features/role/api.ts; RoleShell.tsx; RoleShell.test.tsx; api.test.ts"
"RoleRelation / RoleEvent","features/role","/api/v1/roles/{roleId}/relations; /events lifecycle","API/Mock global switch","yes","yes","yes","yes","pending/disabled/read-only event state","none","RoleRelation/RoleEvent","shared tokens","role stage/mobile CSS/tests","DT7-05_Role_*; MT7-05_Role_*","VERIFIED","features/role/api.ts; RoleShell.test.tsx; api.test.ts"
"Inventory","features/inventory","GET /api/v1/inventory","API/Mock global switch","yes","yes","yes","yes","detail read-only","final item content","inventory read; no include flag dependency","shared tokens","inventory stages/mobile grid","DT7-06_Inventory_Gear_*; MT7-06_Inventory_Gear_*","VERIFIED","lib/api/endpoints/inventory.api.ts:getInventoryApi; InventoryShell.test.tsx; useInventoryQueries.test.tsx"
"Mailbox","features/inventory","GET /api/v1/mailbox; POST claim; DELETE mail","API/Mock global switch","yes","yes","yes","canonical reload","confirmed/pending/disabled","reward delivery content","mailbox claim/delete","shared tokens","inventory stages/mobile grid","DT7-06_Inventory_Gear_* material hierarchy","VERIFIED","lib/api/endpoints/inventory.api.ts; InventoryShell.test.tsx; inventory.api.test.ts"
"Gear","features/inventory","GET/PUT/DELETE /api/v1/players/equipment","API/Mock global switch","yes","yes","yes","yes","compatibility-unprovable actions disabled","final equipment seed/slots","equipment content authority","shared tokens","gear stages/mobile CSS/tests","DT7-06_Inventory_Gear_*; MT7-06_Inventory_Gear_*","CONTENT_BLOCKED","lib/api/endpoints/equipment.api.ts; GearShell.tsx; GearShell.test.tsx; useEquipmentQueries.test.tsx"
"Growth","features/player","GET /api/v1/players/growth","API/Mock global switch","yes","history/changes empty","yes","yes","read-only overview","none","Growth read","shared tokens","growth stages/mobile CSS/tests","DT7-07_Growth_beige.png; DT7-07_Growth_astral.png","VERIFIED","features/player/api.ts:getPlayerGrowthApi; GrowthShell.test.tsx; useGrowthQuery.test.tsx"
"Player catalogs: Achievement / Certification / Title / Hobby","features/player","canonical player/catalog reads and supported mutations","API/Mock global switch","yes","yes","yes","yes","pending/disabled/read-only detail","final catalog activation","catalog authority","shared tokens","feature stage tests + shared mobile frame","DT7-07_Growth_* material hierarchy","CONTENT_BLOCKED","features/player/api.ts; AchievementShell.test.tsx; CertificationShell.test.tsx; TitleShell.test.tsx; HobbyShell.test.tsx"
"Connections","features/social","GET /api/v1/connections/followings|followers; legacy /api/v1/follows commands","API/Mock global switch","yes","yes","yes","yes","pending/disabled/read-only relation states","none","connections read + legacy follow commands","shared utility tokens","floating/mobile drawer CSS/tests","DT7-08_Connections_Direct_Chat_*; MT7-07_*","VERIFIED","features/social/api.ts; ConnectionsDrawer.test.tsx; useConnectionsQueries.test.tsx"
"Direct Chat","features/social/chat","friend channels; open channel; cursor messages; send","API/Mock global switch","yes","yes","yes","yes","read-only channel and send pending","none","HTTP contract; realtime not claimed","shared utility tokens","floating/mobile chat CSS/tests","DT7-08_Connections_Direct_Chat_*; MT7-07_*","VERIFIED","features/social/chat/api.ts; DirectChatDrawer.test.tsx; useDirectChat.test.tsx"
"Notification","features/notification","GET inbox/unread; POST read/read-all","API/Mock global switch","yes","yes","yes","yes","pending/disabled/read state","source generation","only two source adapters verified","shared utility tokens","viewport-clamped popup/mobile one-pane","DT7-09_Notification_*; MT7-08_Notification_*","BACKEND_BLOCKED","features/notification/api.ts; NotificationBell.test.tsx; useNotifications.test.tsx"
