area,file,symbol or test,evidence finding,classification
"Consumer data source","shared/api/client.ts","USE_MOCK","NEXT_PUBLIC_USE_MOCK !== false makes unset/invalid select Mock","RUNTIME_CONTRACT_GAP"
"Consumer data source",".env.example","NEXT_PUBLIC_USE_MOCK=true","documented example selects fixtures","RUNTIME_CONTRACT_GAP"
"API client","shared/api/client.ts","parseResponse/apiRequest","explicit raw/envelope parsing; 401 refresh is coalesced; retry:false is supported","VERIFIED"
"Auth","features/auth/api.ts","registerApi","real branch calls POST /api/v1/auth/register; no users/register path","VERIFIED"
"Auth","features/auth/AuthContext.test.tsx","session tests","auth expiry/session transitions are covered","VERIFIED"
"Onboarding","features/onboarding-api.test.ts","registration contract tests","auth register and player register paths asserted","VERIFIED"
"Home","features/home/api.ts","getHomeApi","real branch calls GET /api/v1/home","VERIFIED"
"Home","features/home/HomeShell.test.tsx","screen states","loading/error/retry/empty and no pressure metrics are covered","VERIFIED"
"LifeLog","features/lifelog/api.ts","journal/media/exercise/collection/quickRecord APIs","feature adapters own exact paths and Quick Record Idempotency-Key","VERIFIED"
"Journal","features/lifelog/useJournalQueries.test.tsx","mutation recovery tests","same intent keeps key; success plus refresh failure remains direct success with warning","VERIFIED"
"Quest","features/quests/api.ts","listQuestCatalogApi/listPlayerQuestsApi/getPlayerQuestApi","endpoint-specific apiGetRaw handling reflects known envelope variation but lacks cross-repository freeze","RUNTIME_CONTRACT_GAP"
"Quest","shared/api/types/quest.ts","AcceptQuestRequest/CancelQuestRequest","optional idempotencyKey fields are stale and not sent","RUNTIME_CONTRACT_GAP"
"QuestRoute","features/quests/api.ts","advanceQuestRouteApi","sends explicit expectedStepId and is not derived from Quest completion","VERIFIED"
"Journey","features/quests/JourneyShell.test.tsx","semantic regressions","Definition/Acceptance/Route and Goal Reached/Completed distinctions are covered","VERIFIED"
"Role","features/role/api.ts","Role/Person/Relation/Event APIs","canonical feature-owned CRUD/lifecycle adapters","VERIFIED"
"Role","features/role/RoleShell.test.tsx","screen workflow","private Person and RoleEvent semantics plus states are covered","VERIFIED"
"Inventory/Mailbox","lib/api/endpoints/inventory.api.ts","getInventoryApi/getMailboxApi/claimMailApi/deleteMailApi","exact real APIs; no ignored include flags sent","VERIFIED"
"Inventory/Mailbox","features/inventory/InventoryShell.test.tsx","screen workflow","loading/empty/error/retry/detail/claim/delete states are covered","VERIFIED"
"Gear","lib/api/endpoints/equipment.api.ts","equipment API family","real endpoints exist but final slot/item content is not authoritative","CONTENT_BLOCKED"
"Gear","features/inventory/GearShell.test.tsx","guard tests","unprovable compatibility remains disabled and item metadata is not invented","VERIFIED"
"Growth","features/player/api.ts","getPlayerGrowthApi","real GET /api/v1/players/growth branch","VERIFIED"
"Growth","features/player/GrowthShell.test.tsx","screen states","loading/error/retry/history/detail behavior is covered","VERIFIED"
"Player catalogs","features/player/api.ts","achievement/certification/title/hobby APIs","adapters exist; fixture/static labels do not prove final activation","CONTENT_BLOCKED"
"Legacy Player presentation","widgets/left-context/LeftContext.tsx; ui/PlayerPanel.tsx","guildName optional path","app supplies no guildName; stale unreachable branch remains","DEFERRED_BY_LOCK"
"Legacy Player fixture","features/player/mock.ts","representativeGuildName and fantasy labels","can leak because current global default selects Mock","MOCK_OR_PLACEHOLDER"
"Connections","features/social/api.ts","getFollowingsApi/getFollowersApi/followCommand","canonical reads and legacy Follow commands are separated","VERIFIED"
"Connections","features/social/ConnectionsDrawer.test.tsx","utility states","loading/empty/error/retry/pending and pagination are covered","VERIFIED"
"Direct Chat","features/social/chat/api.ts","channel/history/send APIs","HTTP-only integration; send uses retry:false; no realtime implementation","RUNTIME_CONTRACT_GAP"
"Direct Chat","features/social/chat/DirectChatDrawer.test.tsx","utility states","empty/error/retry/read-only/send behavior covered without presence claim","VERIFIED"
"Dead social","lib/api/endpoints/social.api.ts; features/social/forms.ts","Party/Guild/gift adapters and forms","repository caller search found definitions only","DEFERRED_BY_LOCK"
"Navigation","entities/nav/config.ts","MAIN_NAV_ITEMS","active Orbs are Player/Inventory/Journey/Role/Lifelog/Exchange/System; social/skills are not active","VERIFIED"
"Dead navigation","entities/nav/config.ts; entities/nav/types.ts","skills/social and Party/Guild entries","inactive stale taxonomy remains but app/page cannot select it","DEFERRED_BY_LOCK"
"Notification","features/notification/api.ts","getNotificationsApi/getUnreadCountApi/mark*","real inbox/unread/read APIs with cursor flow","VERIFIED"
"Notification","features/notification/NotificationBell.test.tsx","source/utility assertions","unknown types remain neutral; unsupported filters/realtime/deep links absent","VERIFIED"
"Notification sources","shared/api/types/notification.ts; NotificationBell.tsx","string type mapping","frontend cannot prove unverified backend producers","BACKEND_BLOCKED"
"Exchange types","shared/api/types/economy.ts","EconomyCurrency/Wallet/OpenListing/TradesResponse","GOLD|GEM; amount+currency; inventoryEntryId/price/currency; {trades}","VERIFIED"
"Exchange API","lib/api/endpoints/market.api.ts","Wallet/Shop/Listing/Trade adapters","canonical endpoints and wrappers; Marketplace purchase request shape retained","VERIFIED"
"Exchange ownership","features/market/useExchangeQueries.ts","useExchangeQueries","query ownership is under features/market rather than app/page","VERIFIED"
"Exchange intent lifecycle","features/market/useExchangeMutations.ts","keyFor/startShopPurchase/purchaseListing","logical keys survive unresolved reload and mutations canonically reload data","VERIFIED"
"Marketplace","features/market/useExchangeMutations.test.tsx","idempotency lifecycle tests","frontend lifecycle is covered; durable server replay remains backend #323","BACKEND_BLOCKED"
"Listing UX","features/market/ExchangeShell.tsx","CreateListingForm/ListingDetail","owned entry selection; integer total price; GOLD/GEM; self-purchase disabled","VERIFIED"
"System Shop UX","features/market/ExchangeShell.tsx","ShopItemDetail","active Purchase/Confirm and Purchase completed overstate missing entitlement fulfillment","RUNTIME_CONTRACT_GAP"
"System Help","app/page.tsx; features/system/model.ts","buildPanels/SYSTEM_PANEL_ROWS","static placeholder rows with no action handlers","MOCK_OR_PLACEHOLDER"
"Theme model","features/theme/theme.ts","DEFAULT_THEME_PREFERENCE/resolveTheme/THEME_BOOTSTRAP_SCRIPT","Warm Beige default; Astral secondary; SYSTEM mapping; prepaint","VERIFIED"
"Theme runtime","features/theme/ThemeProvider.tsx","setPreference/applyRoot","local immediate root token swap and persistence","VERIFIED"
"Theme account sync","features/theme/AuthenticatedThemeBootstrap.tsx","requestVersion/userId guard","authenticated hydration rejects stale session responses","VERIFIED"
"Settings","features/system/settings/SettingsShell.test.tsx; useSettings.test.tsx","Appearance workflow","radio selection applies locally; account error is non-blocking","VERIFIED"
"Tokens","app/globals.css","--lag-* roots and shared state/control tokens","values align with supplied v7 handoff CSVs; one component tree","VERIFIED"
"Accessibility","app/globals.css","focus-visible; disabled; prefers-reduced-motion","visible focus and reduced-motion rules are global","VERIFIED"
"Responsive geometry","app/globals.css","wide/compact/mobile media rules","sticky viewport lane, internal scroll, mobile bottom OrbNav/safe area, utility clamps","VERIFIED"
"Stage camera","shared/hooks/useStageCamera.ts","cameraProfileForWidth/stageFocusPlan/requestStageFocus","wide/compact/mobile semantics; context invalidation; topology/explicit focus only","VERIFIED"
"Stage camera tests","shared/hooks/useStageCamera.test.ts","camera regression matrix","resize/coalescing/manual-pan/main-switch/late-mount behaviors are covered","VERIFIED"
"Panel motion","shared/ui/PanelStage.tsx; shared/lib/motion.ts","PanelStage/StageContentTransition","new stage and same-depth content motion are separated; reduced motion preserved","VERIFIED"
"Consumer composition","app/page.tsx","feature shell wiring","consumer features own screens; global utilities remain outside camera stages","VERIFIED"
"Admin isolation","features/admin/admin.module.css",".root --admin-* scope","Admin tokens are CSS-module scoped and do not overwrite consumer --lag-* tokens","VERIFIED"
"Admin ancestry isolation","git diff ffd783b..HEAD","changed path audit","post-PR75 changes are Admin paths plus .env.example; no consumer feature/theme/camera source changed","VERIFIED"
"Rendered fidelity","current runtime","not captured","reference images were inspected but current app was not rendered in this docs-only audit","NOT_VISUALLY_VERIFIED"
