contract family,backend reality,frontend mapping,request or response shape,verdict,evidence,next action
"Auth registration","real route is POST /api/v1/auth/register","registerApi","email + password + nickname","VERIFIED","features/auth/api.ts; features/onboarding-api.test.ts","none"
"Auth current user/session","GET /api/v1/users/me and refresh","getMeApi; refreshApi","enveloped UserInfo; refresh retry:false","VERIFIED","features/auth/api.ts; AuthContext.test.tsx; shared/api/client.test.ts","none"
"Role / Person / RoleRelation / RoleEvent","verified safe integration family","feature-owned role adapter","exact /roles /persons and nested relation/event endpoints","VERIFIED","features/role/api.ts; api.test.ts; RoleShell.test.tsx","none"
"LifeLog / Journal","verified safe integration family","lifelog API + journal hooks","enveloped Journal; endpoint-specific media/exercise/collection adapters","VERIFIED","features/lifelog/api.ts; api.test.ts; JournalShell.test.tsx","none"
"Quick Record","verified safe integration family","quickRecordApi","Idempotency-Key header; unchanged intent reuses key","VERIFIED","features/lifelog/api.ts; useJournalQueries.test.tsx","none"
"Quest catalog/list/detail envelopes","backend envelopes are not uniformly aligned","apiGetRaw for catalog/list/detail; apiGet for routes","blueprints/acceptances raw wrappers vs enveloped routes","RUNTIME_CONTRACT_GAP","features/quests/api.ts lines 20-32 and 55-84; shared/api/client.test.ts raw/envelope distinction","freeze exact current backend DTO/envelope tests before calling final"
"Quest Accept/Cancel idempotency","DTO fields are not durable backend capability","runtime bodies omit idempotency key; types retain optional fields","AcceptQuestRequest.idempotencyKey?; CancelQuestRequest.idempotencyKey? are dead","RUNTIME_CONTRACT_GAP","features/quests/api.ts lines 35-52; shared/api/types/quest.ts lines 61-70; features/quests/api.test.ts","remove dead fields; do not claim exactly-once"
"Quest progress/completion","representative loop verified","accept/manual-check/cancel + canonical reload","QuestAcceptance status keeps GOAL_REACHED distinct from COMPLETED","VERIFIED","features/quests/JourneyShell.tsx; useJourneyQueries.test.tsx; model.test.ts","keep content activation separate"
"QuestRoute advance","explicit expectedStepId authoritative","advanceQuestRouteApi","POST /api/v1/quest-routes/my/{routeId}/advance {expectedStepId}","VERIFIED","features/quests/api.ts lines 81-84; api.test.ts; JourneyShell.test.tsx","none"
"Inventory read","verified; detail include flags ignored by backend","getInventoryApi sends no include flags","GET /api/v1/inventory","VERIFIED","lib/api/endpoints/inventory.api.ts lines 10-14; inventory.api.test.ts","do not add flag-dependent behavior"
"Mailbox claim/delete","reward delivery and claim verified","getMailboxApi; claimMailApi; deleteMailApi","GET /mailbox; POST /mailbox/claim; DELETE /mailbox","VERIFIED","lib/api/endpoints/inventory.api.ts; InventoryShell.test.tsx","none"
"Gear/equipment","final content not seeded/authorized","equipment reads/writes exist with compatibility guards","GET/PUT/DELETE /api/v1/players/equipment","CONTENT_BLOCKED","lib/api/endpoints/equipment.api.ts; GearShell.test.tsx","retain empty/disabled truth; no fixture completion"
"Growth","verified safe integration family","getPlayerGrowthApi","GET /api/v1/players/growth","VERIFIED","features/player/api.ts; GrowthShell.test.tsx; useGrowthQuery.test.tsx","none"
"Player content catalogs","final content catalogs/activation not safe to freeze","achievement/certification/title/hobby adapters","catalog/player infos wrappers","CONTENT_BLOCKED","features/player/api.ts and focused shell/hook tests","no final labels or activation from fixture data"
"Connections read","canonical /connections model exists","getFollowingsApi/getFollowersApi","paged ConnectionPage","VERIFIED","features/social/api.ts lines 5-15; api.test.ts","none"
"Legacy Follow commands","legacy commands remain","followCommand family","POST /api/v1/follows and command suffixes","VERIFIED","features/social/api.ts lines 17-35; api.test.ts","do not reinterpret as RoleParty"
"Legacy Party/Guild","not Role/RoleParty authority","unused old endpoint adapter/forms/nav keys remain","/api/v1/parties; /api/v1/guilds; /api/v1/social/gift","DEFERRED_BY_LOCK","lib/api/endpoints/social.api.ts has no repository callers; features/social/forms.ts has no callers; MAIN_NAV_ITEMS excludes social","remove dead branches in cleanup; do not activate"
"Direct Chat","production realtime not verified","HTTP channel/history/send adapter only","friend channel + cursor messages + send retry:false","RUNTIME_CONTRACT_GAP","features/social/chat/api.ts; api.test.ts; DirectChatDrawer.test.tsx","keep UI free of realtime/presence claims; verify deployment separately"
"Notification inbox/read","inbox/unread/read is real","notification API and hook","GET inbox/unread; POST read/read-all","VERIFIED","features/notification/api.ts; api.test.ts; useNotifications.test.tsx","none"
"Notification source generation","only QUEST_COMPLETED and QUEST_REWARD_READY adapters verified","UI accepts string type and neutral fallback","no filters/realtime/deep-link/delete","BACKEND_BLOCKED","NotificationBell.tsx; NotificationBell.test.tsx","do not add source-specific capabilities without backend evidence"
"Wallet","GOLD/GEM Wallet amount+currency","getWalletApi","WalletBalance {amount,currency}","VERIFIED","shared/api/types/economy.ts; market.api.ts; market.api.test.ts","none"
"Listing create","whole-entry total-price rule","createListingApi maps selected InventoryEntry.itemInstanceId to inventoryEntryId","{inventoryEntryId,price integer>=1,currency GOLD|GEM}","VERIFIED","ExchangeShell.tsx:CreateListingForm; useExchangeMutations.ts line 126; tests","none"
"Marketplace reserve/purchase","atomic purchase exists; durable idempotency hardening in #323","reserveListingApi/purchaseListingApi; stable logical intent key","purchase body remains {reservationToken,idempotencyKey}","BACKEND_BLOCKED","market.api.ts lines 74-83; useExchangeMutations.test.tsx","do not change request shape; await #323 for durable guarantee"
"System Shop start/confirm","purchase state exists; entitlement delivery is incomplete","active start/confirm actions and completed copy","initiation {id}; history token; confirm token/key","RUNTIME_CONTRACT_GAP","ExchangeShell.tsx lines 105-140 and 368; market.api.ts lines 23-46","gate currency-moving fulfillment UI until backend entitlement authority exists"
"Trade history","real canonical history","getTradesApi unwraps trades","{trades}","VERIFIED","market.api.ts lines 86-90; ExchangeShell.tsx:TradePanel; tests","none"
"Settings theme persistence","local immediate plus account sync","ThemeProvider + AuthenticatedThemeBootstrap + settings adapter","SYSTEM|ASTRAL|WARM_BEIGE in flagsJson","VERIFIED","features/theme/* tests; lib/api/endpoints/settings.api.test.ts; SettingsShell.test.tsx","none"
"Consumer data-source authority","production authority must not silently become fixtures","global USE_MOCK branches all consumer adapters","missing/invalid NEXT_PUBLIC_USE_MOCK currently means Mock","RUNTIME_CONTRACT_GAP","shared/api/client.ts line 4; .env.example line 2; every consumer API imports USE_MOCK","make Mock explicit-only and API default"
